MAP_ID,sim_count_weighted,calls_ratio,sms_ratio,vol_ratio,active_days__allweek__allday__callandtext,number_of_contacts__allweek__allday__text,number_of_contacts__allweek__allday__call,call_duration__allweek__allday__call__std,call_duration__allweek__allday__call__mean,percent_nocturnal__allweek__allday__text,percent_nocturnal__allweek__allday__call,percent_initiated_conversations__allweek__allday__callandtext,percent_initiated_interactions__allweek__allday__call,response_delay_text__allweek__allday__callandtext__std,response_delay_text__allweek__allday__callandtext__mean,response_rate_text__allweek__allday__callandtext,entropy_of_contacts__allweek__allday__text,entropy_of_contacts__allweek__allday__call,balance_of_contacts__allweek__allday__text__std,balance_of_contacts__allweek__allday__text__mean,balance_of_contacts__allweek__allday__call__std,balance_of_contacts__allweek__allday__call__mean,interactions_per_contact__allweek__allday__text__std,interactions_per_contact__allweek__allday__text__mean,interactions_per_contact__allweek__allday__call__std,interactions_per_contact__allweek__allday__call__mean,interevent_time__allweek__allday__text__std,interevent_time__allweek__allday__text__mean,interevent_time__allweek__allday__call__std,interevent_time__allweek__allday__call__mean,percent_pareto_interactions__allweek__allday__text,percent_pareto_interactions__allweek__allday__call,percent_pareto_durations__allweek__allday__call,number_of_interactions__allweek__allday__text,number_of_interactions__allweek__allday__call,number_of_interaction_in__allweek__allday__text,number_of_interaction_in__allweek__allday__call,number_of_interaction_out__allweek__allday__text,number_of_interaction_out__allweek__allday__call,number_of_antennas__allweek__allday,entropy_of_antennas__allweek__allday,percent_at_home__allweek__allday,radius_of_gyration__allweek__allday,frequent_antennas__allweek__allday,churn_rate__std,churn_rate__mean,calls_ratio_var,sms_ratio_var,vol_ratio_var,calls_entropy,sms_entropy,sms2calls_ratio,calls_isolation,sms_isolation,og_calls_work_ratio,og_sms_work_ratio,og_vol_work_ratio,ic_calls_work_ratio,ic_sms_work_ratio,ic_vol_work_ratio,og_calls_peak_ratio,og_sms_peak_ratio,og_vol_peak_ratio,ic_calls_peak_ratio,ic_sms_peak_ratio,ic_vol_peak_ratio,og_calls_week_ratio,og_sms_week_ratio,og_vol_week_ratio,ic_calls_week_ratio,ic_sms_week_ratio,ic_vol_week_ratio,dist2d,calls_dist_mean,sms_dist_mean,calls2d_ratio,sms2d_ratio
0,70647.97074187789,1.0941499585404124,0.8737171936188066,1.0432441775417525,27.428883130810334,75.44493521300699,29.03260081804775,126.74658430369564,70.6792389135081,0.37422443524275467,0.3979733376011025,0.2745685885706821,0.5350354228636018,211.11428181805982,202.5168250972178,0.13024622690237742,3.321529195524671,1.8804003418556823,0.021910282378949333,0.014149183899023383,0.02961163814038858,0.03353917016248086,8.101890413428558,4.383447933803337,24.38460581252272,9.07108286539019,32071.713688090833,17268.421471078076,97940.26466903806,102158.1277990107,0.12431289111293121,0.24832496670453888,0.08417128635597768,345.8766518732328,462.11620970585113,154.78281967145597,236.36372385213875,191.09383220177676,225.75248585371259,22.79302732853887,1.479035945340933,0.5600471199778209,22.58210820786206,4.51322292176355,0.12297406717615071,0.19017062944020818,0.0396561000402804,0.0200869408257204,0.00138886524208003,7.7180330712049905,7.06678736080084,0.7317649482018499,1608.0,1594.0,0.0309271110009476,0.0333406482425341,0.00238367073658012,0.0156747124876571,0.0232731785978904,0.0010374262711083401,1.6937090383974498,0.9566891441891441,1.59397067508923,1.59316347207919,0.894024533842095,1.43013319929631,0.27647445919381,0.2955002368756369,0.286567362889688,0.288912661826416,0.297683098153532,0.291072856829445,20.773810930861,39.1061367980864,25.3969202702804,0.179575091177474,0.35028342361680603
1,110502.11129040582,0.9043668985955434,0.816582714318512,0.9956948947078084,27.20770089343836,79.15602669718278,26.977868575035465,118.19987851046449,66.93083380141198,0.38722885014978514,0.3973087598202072,0.2591289855402188,0.5489580670928372,194.16270773143847,194.27223662753232,0.11096937022827484,3.3573092018887922,1.8393064172349989,0.02210563003804198,0.014152248273832282,0.029502695965154153,0.035645542377398254,8.163421520591875,4.422447812337712,19.20589439910778,7.668106098019746,31917.935643076104,17026.088175520297,104026.76526360253,109927.35525517804,0.12390729762883844,0.2687068218487132,0.08436959110032935,367.2423164158412,347.78104570511897,160.05914066740556,179.59424192894005,207.18317574843547,168.18680377617892,21.2475664912247,1.4062429490741906,0.5769841455779897,25.067645793555034,4.35313637307823,0.11105762766034691,0.17334803381474115,0.0457958212922063,0.00843183143361054,0.00104185408463331,7.22435517156222,7.03107629209957,0.8580431044195791,1609.0,1603.0,0.0329157520098221,0.0337453392173137,0.000904211424575218,0.0124246680273435,0.0195241048085965,0.0007587808269834991,1.6937090383974498,0.8794836374029441,1.7097577206516599,1.9355544337876498,0.924810082872928,2.5625665035113903,0.277424717198777,0.30081022061233303,0.29227630990034603,0.28267801440420504,0.2992401605851,0.285766711333193,28.658524778035304,35.2322619358667,25.4024929957789,0.151032465689322,0.312894480815048
2,29374.966311552358,0.8594000035962299,0.871216612204459,0.9878978254899411,27.229885633990577,76.46759542635874,23.982805267568345,114.22106317306562,64.75729060539463,0.36576083091116895,0.38190066042881077,0.25018178388964535,0.5501134835014415,172.14231092774475,175.11386596334123,0.10368973145580324,3.325959428420023,1.7274536466614332,0.022522357557355,0.014946060249704756,0.029719265974825916,0.03985752382056628,8.135680636944368,4.475633619296775,19.44280144234641,8.110968867565168,31680.346538881913,16947.238731285073,107463.1673092932,117610.48758547682,0.11989205220551447,0.28255785270871225,0.08307131223121772,360.73245287648587,336.91997242627855,157.79574456184235,175.27733107048294,202.93670831464343,161.6426413557961,21.69394796398557,1.3653984735923654,0.599038429832882,21.915886856813202,4.172016372186766,0.11586249985406503,0.17770837258058528,0.25277134116996697,0.0363797457229957,0.0184789741913402,7.04286874571594,6.93251847275486,1.08590743129117,1608.0,1595.0,0.0382783418194265,0.031460225112595,0.000735889631470053,0.0196724144081111,0.041017839405003996,0.000823853515321094,1.26497130274699,0.8494983907094051,1.76786009363812,1.22819933074071,0.7713655350215051,1.73806224014111,0.224852435702308,0.28718125932842503,0.287913075339359,0.271605595129491,0.300278764849358,0.28779487927881503,21.025838040310603,36.090083514899604,26.9657025033082,0.160402094720786,0.305620829925198
3,19767.656601525694,0.6554102064378872,1.249137250735887,0.9625723123252483,26.57799482374866,73.30427064667447,15.196414462159494,103.1442971659844,58.80717595503687,0.36004978199098725,0.33131949992408405,0.19251782211500285,0.5943434241709262,110.09581944848138,122.11137220524381,0.05704150266117132,3.2817620071554865,1.4023156747287517,0.025227540003973155,0.017379564222537957,0.02766887296555054,0.045824363017247016,8.396794027234417,4.711289207062662,11.066420047008226,6.018936445405696,33328.23104108764,17308.836790543035,124047.31385029697,144812.5852807146,0.11582668243066821,0.3372543233184353,0.0802937049417398,362.74605646727963,154.77876793365695,146.60556573346074,81.07022706856198,216.1404907338186,73.70854086509478,16.360661108180533,1.101104704592101,0.6707063981024334,28.380735864253317,3.282281828915373,0.11743767926764231,0.17189752427602398,0.770666092936555,0.0941532588505935,0.00249617192098987,6.63409433514733,7.3167104120803,1.91907426439801,1607.0,1575.0,0.0856456437428883,0.0405734532417189,0.000981464509943329,0.0251320521834314,0.0414254893126655,0.0007232434409766231,0.678041625925409,0.9011243077955741,2.49144286466561,1.52908188145587,0.743408285248532,1.6619578909483501,0.32209136246393,0.283996465754008,0.28526519917009996,0.281891659013687,0.303816446226656,0.27774155883653195,41.5397839460559,46.9388691921044,62.8197289906769,0.0892445469997627,0.36381635164064796
4,37978.276779564214,1.3214947419801224,0.9195426610013427,0.993350809394611,27.185976919125576,80.21106987593355,29.213350364216772,124.42573182026526,69.860515156192,0.3758369886344324,0.39504768662706385,0.2752083540997223,0.552354513449967,213.18570968716355,206.32879403387344,0.12467441135027589,3.3700111261042265,1.889524834469996,0.021880460069865326,0.01440191568271951,0.029299540464634673,0.03580046576370004,8.137390762720681,4.392295955487243,22.140340315953683,8.394366314782792,32532.850038602748,17375.101101924356,97475.32871453013,103287.06052677348,0.12684944097945877,0.2590430705137913,0.08530950956419393,372.1151935051398,399.52326731546196,160.2784333256965,206.36020001201913,211.83676017944327,193.1630673034429,21.91474590944224,1.4802790752793828,0.5413254119970731,28.0702601328851,4.647298706763544,0.12343648777248604,0.1960055880631175,0.0133052510501272,0.0541976267654232,0.00360229308361344,7.59348078225872,7.79340629265435,0.6172028590678299,1607.0,1601.0,0.0158192401611586,0.0239175401956572,0.0033087510213691,0.0287271477682789,0.0139402277998538,0.0037097689162158202,1.6143158417069798,1.04185309670099,0.9370269205158521,1.08516371125876,0.9031542551456441,0.9019789280806229,0.293217209985325,0.30034794599942,0.292525312255197,0.292052486464544,0.293992266342746,0.292127114245224,42.8100542346764,40.1733838450802,38.5918093634397,0.166154303671012,0.34457550278019006
5,25698.31644078375,1.1889522855545978,0.9644241400181618,0.9948906375074573,26.94254724135812,80.78536463845936,25.7788657795447,118.54848581619059,68.31937048307057,0.36812694734406975,0.3856210027735183,0.2575439505570655,0.5629597476690369,198.68065654078052,204.7093847456074,0.10454045034123331,3.374016090840461,1.8502596812885725,0.022195671090642716,0.01470876304220001,0.02941299732881515,0.03585703223520662,8.157802020991602,4.455681385085174,15.312826070791438,6.435886431511792,33339.024633903675,17682.876482907464,104353.52733038642,109288.56740622167,0.1265497615600806,0.2702417807987775,0.08596180533186101,383.6367437094115,272.47175988784136,161.87368473636104,145.47431662834845,221.76305897305053,126.99744325949283,22.01444261043698,1.4325959123263383,0.5596461757558541,31.291109589350516,4.745006539769138,0.1254754979144418,0.20042292510196807,0.00202406576639654,0.189875274990508,0.00133635222689754,7.906174478478019,8.13501705436966,0.454411263722395,1607.0,1599.0,0.004837953161546221,0.0196767736953578,0.00297292373906973,0.00560513309459824,0.0307531864521106,0.00377956477750447,2.47313902285594,1.02957672421348,0.801161988645408,2.8371734805211495,0.659983074018619,0.9019789280806229,0.275107952346503,0.27674819253685495,0.285994677906606,0.27597170228011997,0.30520759471926,0.28277331914945003,41.7115772106681,40.6156363193342,43.7041720844979,0.15685110500697302,0.353314684016263
6,21242.054586626124,1.1723646647897046,1.0050513825470675,1.0385482735792861,26.418359545639497,70.51338050982328,24.92075060628659,117.61225747525023,67.27485846310842,0.3901397730785378,0.3971139245487866,0.26712408917393027,0.5472391705755278,186.8243473408197,197.06269703113895,0.10148932515577602,3.2743344894434805,1.7843450454565701,0.02336912377660883,0.01584111884225617,0.02973856106563082,0.0413411074922813,7.450433856366998,4.151197312203534,14.629291763725663,6.106232480375114,37745.54539536184,19959.409021743828,106206.6482725773,114706.26351306766,0.1364896180707803,0.28632465786517525,0.09036596420849374,310.8814336918188,276.2939122494066,134.71657621680234,143.41806902462264,176.16485747501628,132.87584322478392,18.24327739236002,1.4322788206894135,0.5488999450758416,25.64526299176989,4.234098926522276,0.13620355975790513,0.2152179879403088,0.0122809853232814,0.21052080413563895,0.10888210835539099,7.4341848769607495,7.29110160475119,0.5949918808331031,1601.0,1589.0,0.0284576527953485,0.0139185790449121,0.00243494930531082,0.014931431280915002,0.0142586583273615,0.000905568190203065,1.57530868880754,0.9632873980700071,1.1284245968456499,1.41729272266474,1.3156912932193798,1.06881129271917,0.28290020792028303,0.27999417235267,0.27352095598006504,0.29449774890957103,0.295944331546858,0.291271776279961,61.571495466088706,40.195683943384296,43.7202299649782,0.134624592853057,0.295438239061797
7,11641.434119449721,1.0646147385777465,0.727857494720624,1.427101635977387,26.108862874468734,73.13730396760457,20.987753337711744,111.89248565933273,64.38645437587897,0.3722869664201226,0.35858916233577665,0.22800373290730117,0.5620679645796213,141.10253370284977,146.59411722817458,0.07835535855966033,3.2859840435299015,1.5643403287786621,0.024054442109384965,0.01691651848953424,0.02721344809847979,0.04642630748652644,7.157803819229913,4.08427115751995,11.687566835429998,6.0526952605534925,38446.62712919027,20205.32864715175,111501.8717646789,129675.55117350821,0.1370558830222509,0.3211279232369114,0.09146401013947753,312.91679989813963,218.63758124098177,132.5504652443445,114.81434695206111,180.36633465379472,103.82323428892046,18.363568324229693,1.3447315615745232,0.5878638648954424,31.968848007251086,4.313389643497788,0.1350137615788194,0.21728343160154012,0.127750296590634,0.0441528899267584,0.22190082482313397,7.67840568528407,6.88506969469844,0.5820204019723829,1605.0,1579.0,0.0357014524169897,0.041292392458067,0.0018360019484464601,0.0217038070580292,0.0411611431017391,0.0038972556461747297,1.57530868880754,0.591492314984088,1.01694624246691,0.700883140276701,0.715360784991557,0.8839339579665358,0.294949836184092,0.29497376216140697,0.28726073691873605,0.297281028129733,0.29649154980055603,0.29246187032978604,70.70813488390459,49.019626831488,51.3441226508873,0.134624592853057,0.246881654529068
8,9517.076549653055,1.4130237005414692,0.9869291935575133,0.9181851547494602,26.408537708560395,73.53816610236943,29.986150206278367,122.31906053697354,68.22821932788715,0.38964611826578477,0.39151027384210946,0.27256262221422833,0.5588780716191076,208.24069610849267,193.30669580827126,0.12437182693151969,3.292165277833727,1.7960947746466043,0.024215012508562474,0.01728967456771644,0.02773075083471115,0.03953481035153881,7.29741773303289,4.153682533687091,18.384638237918242,7.20902958231759,38226.053734104746,20380.835269992374,93376.61360193863,102374.60814106747,0.13669803272974254,0.2610944332066334,0.08980351779296868,321.24945036143123,381.440233068697,138.86159514590585,198.3005722017163,182.38785521552512,183.1396608669808,20.114673418983227,1.4315677795363408,0.5570154394732025,29.378662634981502,4.510112943320876,0.1446029878715896,0.22932540799276277,0.0286425715640095,0.209245851391775,0.00676369785359021,7.79573674292063,7.18673579766898,0.5409762023715701,1606.0,1585.0,0.007942869153624429,0.0128711813715018,0.0039890048805457205,0.0361070652676214,0.0296309356956324,0.0043296387276802895,2.61857982673267,2.44265768663211,1.18206058276682,0.41213278805704295,0.9469462065826529,0.7563309276782891,0.28586844301298703,0.278789635405359,0.31215562671916103,0.292036917022719,0.28666473974809803,0.300955144869145,55.45014429931889,44.968194117472706,39.314245526297704,0.19549827788192398,0.306879358214689
9,5021.050842537768,1.04630059236316,1.3825883210688548,1.2406216537906802,25.71391385841306,69.49940936712865,15.535264107398,105.66627529877064,60.08871564096688,0.36440598892624193,0.32138082091240855,0.1862988204347686,0.5905266235667468,116.39449618986905,123.17236324373891,0.061184336220813006,3.2426556774671584,1.3633253055021297,0.0262139242150589,0.01974614553615881,0.025330324866131956,0.04234707286280589,7.381583222289172,4.347194043786454,11.774828314358057,6.24228101896893,40478.99150557852,21070.374004734203,122849.13491047834,140337.58185477203,0.13251448180365286,0.32561888421516716,0.08944819184651531,322.43244771636364,165.4232122006829,131.99324212984558,90.7194468899808,190.43920558651809,74.70376531070201,15.181414304453988,1.1225269771837523,0.6518791570585731,31.493548893503423,3.2195895963957977,0.13418612137135016,0.20456546911454565,0.770666092936555,0.0941532588505935,0.00249617192098987,7.14197375763141,7.3613440782181,0.901517803390665,1577.0,1414.0,0.0262864963960849,0.029287473657631,0.00655336645537091,0.0652719673497633,0.0652423107195456,0.0134074512955119,1.33644301813568,2.5632945631593196,0.8473032629558539,7.01337325349301,1.07192148133158,0.5531773987657049,0.284750322870716,0.28315009472930297,0.282058787537629,0.28989961939512104,0.29649856381529804,0.28121912416829703,56.7508971799613,54.0149583148879,53.8003111344028,0.117087133862592,0.253291722494913
