MAP_ID,sim_count_weighted,calls_ratio,sms_ratio,vol_ratio,active_days__allweek__allday__callandtext,number_of_contacts__allweek__allday__text,number_of_contacts__allweek__allday__call,call_duration__allweek__allday__call__std,call_duration__allweek__allday__call__mean,percent_nocturnal__allweek__allday__text,percent_nocturnal__allweek__allday__call,percent_initiated_conversations__allweek__allday__callandtext,percent_initiated_interactions__allweek__allday__call,response_delay_text__allweek__allday__callandtext__std,response_delay_text__allweek__allday__callandtext__mean,response_rate_text__allweek__allday__callandtext,entropy_of_contacts__allweek__allday__text,entropy_of_contacts__allweek__allday__call,balance_of_contacts__allweek__allday__text__std,balance_of_contacts__allweek__allday__text__mean,balance_of_contacts__allweek__allday__call__std,balance_of_contacts__allweek__allday__call__mean,interactions_per_contact__allweek__allday__text__std,interactions_per_contact__allweek__allday__text__mean,interactions_per_contact__allweek__allday__call__std,interactions_per_contact__allweek__allday__call__mean,interevent_time__allweek__allday__text__std,interevent_time__allweek__allday__text__mean,interevent_time__allweek__allday__call__std,interevent_time__allweek__allday__call__mean,percent_pareto_interactions__allweek__allday__text,percent_pareto_interactions__allweek__allday__call,percent_pareto_durations__allweek__allday__call,number_of_interactions__allweek__allday__text,number_of_interactions__allweek__allday__call,number_of_interaction_in__allweek__allday__text,number_of_interaction_in__allweek__allday__call,number_of_interaction_out__allweek__allday__text,number_of_interaction_out__allweek__allday__call,number_of_antennas__allweek__allday,entropy_of_antennas__allweek__allday,percent_at_home__allweek__allday,radius_of_gyration__allweek__allday,frequent_antennas__allweek__allday,churn_rate__std,churn_rate__mean,calls_ratio_var,sms_ratio_var,vol_ratio_var,calls_entropy,sms_entropy,sms2calls_ratio,calls_isolation,sms_isolation,og_calls_work_ratio,og_sms_work_ratio,og_vol_work_ratio,ic_calls_work_ratio,ic_sms_work_ratio,ic_vol_work_ratio,og_calls_peak_ratio,og_sms_peak_ratio,og_vol_peak_ratio,ic_calls_peak_ratio,ic_sms_peak_ratio,ic_vol_peak_ratio,og_calls_week_ratio,og_sms_week_ratio,og_vol_week_ratio,ic_calls_week_ratio,ic_sms_week_ratio,ic_vol_week_ratio,dist2d,calls_dist_mean,sms_dist_mean,calls2d_ratio,sms2d_ratio
0,67166.78233749689,0.9918713189542457,0.8784788827558923,1.031702375399882,27.417197376244197,76.01473530889861,28.56652483154119,125.46455692170997,70.13134154951041,0.3721762861598492,0.3957110453638473,0.2725547643321108,0.5358523747297458,208.83301263691897,200.82838802433037,0.12849577527846068,3.326678275002056,1.8707583621509103,0.02188591097973801,0.014159282954510946,0.02965383864957291,0.033748692262127185,8.083138935931176,4.377388929462942,24.279975429859846,9.024077734547275,32070.28069369029,17282.318622206898,98578.18749259676,102950.37026504701,0.12460520455741549,0.24996147634317264,0.08444033898223331,348.7217387602,442.153071035246,155.77735338677797,227.08263843240803,192.94438537342214,215.0704326028381,22.790251376557137,1.463650530349869,0.5658096114197282,22.545697156927282,4.484759452919514,0.1218044522325636,0.18784245140541733,0.0546505927341119,0.0355245657847171,0.00818299716568904,7.7180330712049905,7.06678736080084,1.15243204564978,1608.0,1592.0,0.0415400988327852,0.0330639352829832,0.0009614090106513571,0.0170605313511355,0.0177580393629858,0.000823853515321094,1.6937090383974498,0.9419798575288629,1.5940574609151204,1.59316347207919,0.8257134982851541,1.96950499611253,0.27647445919381,0.287492750646401,0.284558825114523,0.288033091713608,0.297683098153532,0.291072856829445,21.542400485184498,38.9142863239606,26.3051892483068,0.179575091177474,0.35028342361680603
1,108087.22782304097,0.9481105748524223,0.8443313869461506,0.9989531000415174,27.17198683177733,78.16574831973466,26.609316334918024,117.9607295409227,66.83389966402736,0.3888448146425613,0.39761804717421595,0.2583566540982527,0.5502746610330222,192.75530322044727,193.54524244177955,0.10993113505148042,3.3488616848223156,1.829278445646404,0.022286657880892794,0.01428127850839316,0.029614373752782298,0.03592454227202663,8.148264464437272,4.424228533091119,18.972233447521248,7.611779754539214,32081.629373567906,17101.695803579674,104646.65530505362,110708.48262230841,0.12378685643061481,0.2698376532909345,0.08430714086957818,362.08656430078463,341.64974807691004,157.55223754870886,176.57271294032614,204.53432675207557,165.07703513658382,20.832755822733343,1.3900702396815663,0.5810977078021354,24.739012423970895,4.264117561267922,0.11092264169961609,0.17261257824936788,0.0224289843234305,0.00843183143361054,0.00104185408463331,7.22435517156222,7.03107629209957,0.7859488524252971,1608.0,1603.0,0.031298806292131,0.0326922327887874,0.0011286898667738198,0.0106733083764672,0.0196187692233359,0.0007587808269834991,1.8749971476165501,0.8908218773353729,1.7097577206516599,1.9355544337876498,0.8907781591705299,2.5625665035113903,0.277424717198777,0.299014499351745,0.29227630990034603,0.285223642850706,0.2992401605851,0.285766711333193,29.734436700424,35.2322619358667,25.4024929957789,0.151032465689322,0.312894480815048
2,25916.59974657016,0.8839325804040842,0.8261110297211701,0.9847852424157361,27.2022412646196,76.70017620090877,23.154776025906692,112.31522838949589,64.10150555896466,0.36087362425667746,0.37691772748877495,0.24432345691939253,0.552525225088279,166.37586203024426,171.86277876176322,0.09806180636573174,3.3246349305491716,1.7073750169879343,0.02264298252888042,0.015065991617169233,0.02960358528327596,0.040540305703901866,8.222416801869253,4.516781356391367,17.61266262050366,7.784953413245737,31494.552429850213,16799.62728490293,109423.764579632,120303.08730615358,0.11813871448533567,0.28878793909551537,0.0825517252845984,365.70701624943814,310.3975497126204,159.39534875949508,161.93909208390062,206.31166748994286,148.4584576287202,21.7319590789336,1.3429941920653201,0.6095515965296032,21.775549536730253,4.138399288371952,0.11535361337617726,0.17456805285621046,0.25277134116996697,0.0363797457229957,0.00111615868948406,7.04286874571594,6.93251847275486,1.08590743129117,1609.0,1596.0,0.0382783418194265,0.0333406482425341,0.0007065525841995151,0.0196724144081111,0.041017839405003996,0.000612212495334631,1.26497130274699,0.8494983907094051,1.76786009363812,1.22819933074071,0.7713655350215051,1.73806224014111,0.224852435702308,0.307461477058827,0.287913075339359,0.271605595129491,0.300783293181149,0.28779487927881503,21.0021642011229,36.090083514899604,26.9657025033082,0.160402094720786,0.305620829925198
3,23461.644254774692,0.5627755456606028,1.4571333822969559,0.9850690693582257,26.625138675258842,73.69575780393399,14.611966240420173,102.93140116690893,58.77772171204482,0.35720788233789136,0.3245270497698056,0.18433856293765719,0.5936358267494256,106.93121914185933,119.21549879221239,0.054498273375259434,3.2866049041850434,1.3939826590632585,0.02503300143826121,0.01730359908637569,0.027206029273207963,0.04400808446204114,8.43562776351833,4.731826871235698,11.68163825696589,6.454717100323117,33007.25826324203,17098.016935939042,126596.1432499,146587.00096196015,0.11477899981211455,0.3369507179085265,0.0798005029815091,367.50035165449646,147.91228056812446,148.85641938967913,78.72071711457836,218.6439322648171,69.1915634535459,16.027316270519155,1.0783474228447132,0.6785576990322578,29.042578675133722,3.1471464984954127,0.11941455167132158,0.17149994572319746,0.770666092936555,0.0941532588505935,0.00249617192098987,6.63409433514733,7.3167104120803,1.91907426439801,1607.0,1575.0,0.0856456437428883,0.0405734532417189,0.000981464509943329,0.0251320521834314,0.0414254893126655,0.0007232434409766231,0.678041625925409,0.9011243077955741,2.49144286466561,1.52908188145587,0.743408285248532,1.6619578909483501,0.32209136246393,0.283996465754008,0.28526519917009996,0.281891659013687,0.303816446226656,0.27774155883653195,41.5397839460559,46.9388691921044,62.8197289906769,0.0892445469997627,0.36381635164064796
4,31076.96321197938,1.4213651215111034,0.8779584979678493,0.9852797832629634,26.96092516595951,79.66909613498622,25.316217904833135,118.33897488202747,67.04021444861695,0.3698475181166932,0.37813727619195564,0.25682249087438247,0.5637439362119282,186.68812070679635,189.37863381480912,0.10331134710395846,3.360016256831809,1.7660637213352932,0.022571652063416985,0.015106595204579815,0.029489845843281657,0.03977361403465998,8.122259849581592,4.41795851621509,17.034963204091806,7.345141656005436,32981.69754956441,17524.513509742665,105025.2111111093,114673.60714800999,0.12623098294916327,0.2828691747787109,0.08549106391379711,369.91928755279355,294.7315498373945,156.4631571829227,152.4795657889172,213.45613036987083,142.25198404847723,21.482785435383363,1.4268469465693723,0.5600913656473951,28.25285898860285,4.58354103238586,0.11931547017906256,0.19063388011072666,0.0133052510501272,0.0541976267654232,0.00360229308361344,7.53339115327168,7.865069936401929,0.6172028590678299,1604.0,1601.0,0.0305750305283273,0.0239175401956572,0.00369575396049471,0.0393519858614852,0.0123532573855675,0.0037097689162158202,0.255604296188763,0.9085200483998829,0.9370269205158521,0.789247519494001,0.9031542551456441,0.8571392299000881,0.294723508562623,0.30150358857301096,0.303187000020709,0.292052486464544,0.293992266342746,0.298154171712501,42.4148278466807,39.1586529757805,38.5918093634397,0.166154303671012,0.34457550278019006
5,24089.512902757964,1.156974541704111,0.9077356220895278,0.9931270009573816,26.946879057749097,81.87973162990379,26.502747730721488,118.94431911633404,68.53845348652834,0.36800445947534033,0.38729306239556793,0.2598380756865186,0.558835756820546,201.5300412527944,206.76638242082618,0.10608673021833419,3.3827681754852477,1.866323583969696,0.02200193603664602,0.014650185430570931,0.029144181903637715,0.035612649686940605,8.037301695489733,4.394941825925381,15.387907258364626,6.4034509452370765,33724.40247538406,17981.507000897484,102967.71499442564,107721.56944551648,0.12902914813228744,0.26820000239592146,0.08734948477147503,385.3698385702144,281.2480390456118,163.63350679432315,149.9334524388672,221.73633177589127,131.31458660674454,22.519749096713216,1.4613479553035762,0.5519765854365641,32.42271942865088,4.916968336179872,0.1279558547731128,0.20581596843273922,0.00612592616168396,0.11589875110030802,0.00133635222689754,8.05055043843501,8.13501705436966,0.454411263722395,1607.0,1599.0,0.00585008856881794,0.0196767736953578,0.00297292373906973,0.00560513309459824,0.0288177482806199,0.00352236400284471,2.6409659697848302,1.02957672421348,0.801161988645408,2.67220963756178,0.659983074018619,1.06881129271917,0.275107952346503,0.28208649608295,0.285994677906606,0.27597170228011997,0.28951856310192,0.28277331914945003,41.7115772106681,40.7904333106012,43.7041720844979,0.17584372143376503,0.353314684016263
6,17528.787076135657,1.2508011095630864,1.0579858726405853,0.9853358547489266,26.191182495821323,69.35312499431176,22.582517771817596,113.91747325159615,66.0612056274149,0.38043071549284285,0.38488378289998093,0.2576898624486293,0.554725352032487,173.19910824587774,189.83222413696268,0.09003152012994582,3.2640680461310327,1.7260016009543964,0.023727656565406402,0.016265710191035187,0.029944884777461375,0.043273932060425166,7.504998915098182,4.201922530965278,11.794595093816765,5.305709175958411,38502.42704058025,20248.68578890155,110822.21262394388,120637.3811124821,0.13678514023760302,0.29988448936701895,0.09088245476391486,311.3852320957059,217.0054300149945,132.22690144321265,113.54622605750396,179.15833065249282,103.45920395749059,18.21445951074123,1.4409400237039167,0.5389123138369287,26.249758118276095,4.30397469794436,0.1385826457203803,0.2205490645460744,0.00942297915729485,0.21052080413563895,0.0096748777583811,7.4341848769607495,7.29110160475119,0.5949918808331031,1601.0,1573.0,0.0079111421913895,0.0139185790449121,0.0038843145823553,0.0103683902549363,0.024717033313712004,0.0038644907813124205,0.994901288954152,0.9632873980700071,1.1284245968456499,1.5401740778021202,1.3156912932193798,1.06881129271917,0.28290020792028303,0.279660175194344,0.27137982499083196,0.29449774890957103,0.30460137962960804,0.291271776279961,62.208723534332506,39.4316904123985,47.01731179043329,0.146530387764521,0.29778148138449295
7,11034.38397341134,0.98128972390237,0.710960445894149,1.3889393543635757,25.98871665102235,73.80816580535388,19.627978125141833,108.54895381726091,62.96782212366792,0.3688986420692208,0.3504896385599727,0.21897115280225957,0.5642645871638491,129.6595359558049,138.17573926871512,0.07033487418759363,3.2895022430027527,1.5149673575383147,0.024102579177888436,0.01713157509913472,0.026917314385785516,0.04787381843331444,7.0840516325550675,4.080957033181875,10.419394114871823,5.605214551202491,38740.31406926427,20323.446683643997,114028.91353374226,133883.9876819867,0.13728209405169928,0.3309781177220575,0.092064843802128,315.91530619840256,195.6639850597771,133.1675510847368,103.33469873531087,182.74775511366533,92.32928632446611,18.58787521004592,1.366999247560976,0.5802614691921321,32.554253831960125,4.415038716046533,0.13583944439845835,0.220455979248343,0.127750296590634,0.0441528899267584,0.22190082482313397,7.67840568528407,6.88506969469844,0.5820204019723829,1605.0,1579.0,0.0357014524169897,0.041292392458067,0.0018360019484464601,0.0217038070580292,0.0411611431017391,0.0038972556461747297,1.57530868880754,0.591492314984088,1.01694624246691,0.700883140276701,0.715360784991557,0.8839339579665358,0.294949836184092,0.29497376216140697,0.28726073691873605,0.297281028129733,0.29649154980055603,0.29246187032978604,70.70813488390459,49.019626831488,51.3441226508873,0.134624592853057,0.246881654529068
8,5683.0050723243885,1.5820356784056315,0.9900314245168708,0.917042072811836,25.762122399473284,66.59200109864584,24.21440623685328,111.79911230250892,63.57933234958669,0.3830867209672007,0.3691718099490064,0.2565588354833928,0.5792257381832261,174.79213490103854,168.67748460539147,0.10444289686190698,3.2270402466580643,1.5937351800412145,0.026242549280080442,0.019587350398226927,0.02818156124941878,0.046457058852998265,7.025806509158013,4.142573373836311,14.101975564521869,6.107533139383992,41339.25992698318,21950.104791776597,99747.39566920439,114789.79658389995,0.1389364784189763,0.28907623952761713,0.09218397642759892,289.4129568352434,290.3485724744117,121.26210099351898,150.41742531649945,168.15085584172368,139.93114715791214,19.2544730944351,1.4452532821574975,0.5470443903480164,29.139721550024067,4.583217846907845,0.14715699547053224,0.240327969387523,0.0286425715640095,0.209245851391775,0.00676369785359021,7.591230392244481,6.2167225710991705,0.5409762023715701,1606.0,1588.0,0.00374304141618945,0.00852380741714985,0.00456729640837555,0.0361070652676214,0.0157487335663437,0.00455340639491669,0.497848424638093,1.97441474097568,1.18206058276682,0.122627898012005,0.9469462065826529,1.0896627458083799,0.28586844301298703,0.278789635405359,0.270106509439677,0.292036917022719,0.28666473974809803,0.300955144869145,49.6557695401315,53.2889122401832,56.5057476071669,0.19549827788192398,0.36805693319506305
9,6833.6997602972015,1.383042447167588,0.8943713026961376,1.2446306753969878,25.36586485273059,67.01489098861936,19.20854274120378,109.42200908975313,61.69120524645198,0.378554673608641,0.3461561548684174,0.2174969614647978,0.5846928859661694,139.83935138006896,139.84903673078736,0.07998683907425246,3.220557173555116,1.4273830090371697,0.026753069764638527,0.020547567098139218,0.025945357212519164,0.0448349321093306,6.801848798004681,4.109687496932816,11.81751292520535,5.599672380765737,43869.734695341176,23059.91625613724,112173.27173142703,128854.2478735834,0.14260207304551148,0.3111145071715066,0.0944219145352796,290.69486106089175,225.2476046396425,120.63651898944549,118.7810298730054,170.05834207144625,106.46657476663691,15.392251180510875,1.157654946385863,0.6369935493714749,30.50981383459719,3.421717473185463,0.1352716697785792,0.21485657297881222,0.0454728066023988,0.0995733674220145,0.43082458052592004,7.79573674292063,7.18673579766898,0.48542436715685905,1595.0,1552.0,0.0262864963960849,0.0269551763550834,0.0040620276078005,0.0380879515005775,0.0366983209766392,0.0043296387276802895,1.33644301813568,1.09348334010565,0.7100949185653921,7.01337325349301,0.9734212874665359,0.44854777385317995,0.284750322870716,0.28315009472930297,0.28426396890119,0.30241002480520196,0.26799619299716604,0.286352538422759,56.7508971799613,54.0149583148879,47.9604932013957,0.184423234599397,0.253291722494913
