"REG","calls_ratio_var","sms_ratio_var","vol_ratio_var","calls_entropy","sms_entropy","sms2calls_ratio","calls_isolation","sms_isolation","og_calls_work_ratio","og_sms_work_ratio","og_vol_work_ratio","ic_calls_work_ratio","ic_sms_work_ratio","ic_vol_work_ratio","og_calls_peak_ratio","og_sms_peak_ratio","og_vol_peak_ratio","ic_calls_peak_ratio","ic_sms_peak_ratio","ic_vol_peak_ratio","og_calls_week_ratio","og_sms_week_ratio","og_vol_week_ratio","ic_calls_week_ratio","ic_sms_week_ratio","ic_vol_week_ratio","dist2d","calls_dist_mean","sms_dist_mean","calls2d_ratio","sms2d_ratio","calls_ratio","sms_ratio","vol_ratio"
"DAKAR",0.0410816702745374,0.0135832908469179,0.0167704469768665,8.25289706751833,7.59379470246149,0.999561596097173,1610,1604,0.0367256555704668,0.0161595918577852,0.00198222492569779,0.0375875732092907,0.0171448933778867,0.0015656738573493,1.04493209568901,1.04495407610246,1.42388599383176,1.37537465118683,1.09765743839367,1.47349972193667,0.289450850486209,0.288774439542791,0.288109064154659,0.288033091713608,0.28991825981386,0.287154520875774,5.28249459487634,34.213498286935,16.3164860875441,0.642743303734883,0.742676647842426,1.07161749908705,0.936382182536201,0.972639933440177
"DIOURBEL",0.145409453669404,0.103973787770393,0.0630074456580822,8.29826856345667,7.79746621018117,0.622397808734782,1605,1565,0.0213666249934513,0.0193712702565062,0.00219008205149465,0.0233143810225622,0.0268780873425736,0.00283935465615588,1.33370332328286,0.942551752834703,1.08197803104249,1.10593166112106,0.76019656019656,0.926210801064219,0.28575255832255,0.286623182633896,0.282978435679934,0.286749191952096,0.285522396299949,0.28368486174589,166.964443480441,74.6225886696141,118.743844091301,0.14009593153033,0.378807833990094,1.09991049591488,0.914179217439342,1.00034354198385
"FATICK",0.0306731124720074,0.105884665005165,0.0329276439479537,6.96316546034663,7.10178017393469,0.541986163503679,1598,1544,0.0289623219448291,0.0252456683195562,0.00374117388690371,0.0276842447996795,0.0305094256169508,0.00294827106712428,1.58122187288083,0.829142122417247,1.18599530817923,1.20831588779027,0.680718674651941,0.954665260938324,0.286985355429153,0.286102340694588,0.285597775308958,0.286945815323672,0.282427668192951,0.282144180982504,132.574025611028,59.9674304043107,88.02855772876,0.123359812868285,0.297578752433236,1.14128544779601,0.923414819047012,0.950391098536861
"KAFFRINE",0.127575533553411,0.151813093482934,0.0856759663497208,6.56430291951331,6.81611527146168,0.787397999882308,1596,1417,0.032076527877267,0.0170717876426311,0.00221951767095909,0.0361003211114845,0.0389445243208104,0.00289071006574811,0.93935790725327,1.45831580423503,1.04988815747428,0.985342054702847,0.594334266131322,0.982892883771021,0.27959562834106,0.283379470179776,0.285097304980135,0.286043931262094,0.278336140541161,0.287204634406474,245.141021156293,72.6377401545854,180.532677263855,0.0569262705880035,0.270121074010045,1.19964955958919,1.00407276319591,1.03899409126406
"KAOLACK",0.0372507799978896,0.0606675970323777,0.0259031887958645,7.12100097167506,7.24440954970556,0.583522173502792,1604.5,1578.5,0.0185801000607518,0.0322050049388023,0.00306178965527501,0.0175063149136675,0.0225136170947414,0.00241859950139717,1.77285621183163,0.87354421030826,1.16743529180884,1.39286550108236,0.943594459326583,1.07712048400409,0.286812759842086,0.285988371149692,0.28120313533085,0.284492122605011,0.286388463911971,0.284911653196463,169.544195268938,59.5695460723799,111.966950349647,0.102668625752988,0.311841755763518,1.09586433749736,0.826941019399759,0.920160919947673
"KEDOUGOU",0.133459985195564,0.0743752016260132,0.0405777072752998,5.98273473601934,5.93078695664415,0.688275440997726,1586,1358,0.0245128288087544,0.0320194492433059,0.00337601535200481,0.0287642045454545,0.0347030667211401,0.00298362808544932,1.1235823787542,1.27576079485097,1.11197668771248,1.03781378073771,0.813934537552628,1.07220194460632,0.283368749238564,0.282628120256081,0.281248424934063,0.283702182129605,0.282877867826241,0.28427792195552,617.701463056097,185.636804007469,346.148272542468,0.0835730104205703,0.273694770083402,1.10969212398158,0.912187139455995,0.916599300018463
"KOLDA",0.0764840856174965,0.0898667119779228,0.0161167734943811,5.9987654321234,6.73848235410033,0.66358711028496,1593,1423,0.0225573341609214,0.0223191374748391,0.00327045128094637,0.0208411998078562,0.036390149812358,0.00248102463500702,1.1630731855451,1.14540658332378,0.829925253350303,1.00560592701767,0.75796485260771,0.916068796068796,0.2845754128063,0.279195129975685,0.280252813845208,0.285319174793768,0.277929228954524,0.284106034590107,381.88008822856,98.6040247688469,239.600547000243,0.057980415836611,0.286169040101328,1.14846741736877,0.911715222496334,0.983895948389908
"LOUGA",0.0840325054322528,0.138867926399236,0.0285473480772825,6.72788839486177,7.03493576121228,0.534107726003611,1595,1507,0.0263447719774172,0.0282475717149405,0.00334922566312128,0.0327797638624135,0.0204803953978982,0.00337185291553056,1.1991193157761,0.88612251153761,0.972453115339699,1.05524939549007,1.22839593668793,1.02758211082734,0.282880851679169,0.284826060843584,0.282327522453294,0.282933703298251,0.286580120066496,0.282078009940315,175.801017045784,69.8601472577928,117.744213571326,0.0835435286455163,0.286926566260128,1.21128146469465,0.851103035232389,0.993918140411298
"MATAM",0.087367695903899,0.299305971167648,0.0168354138581373,5.77734161155993,6.19053124020018,0.692940640252048,1601,1487,0.0349631520731641,0.0277898515341204,0.00208452938052023,0.024461922517284,0.0381838435868345,0.00213487217220703,1.06842810178985,1.02465989323231,1.05169223422671,0.895517757664864,0.67254045812108,1.12010147100005,0.284887242728822,0.288171292982115,0.280834349161979,0.283348415481078,0.281518406609592,0.282346962123442,452.675729583538,107.740686492019,240.655305412567,0.0549421534284049,0.203205433915668,1.07040412729873,0.983999121692134,1.00021534145909
"SAINT_LOUIS",0.0453694015498638,0.0868698140268807,0.0215370360047312,5.70695046601953,6.30278461916301,0.693144604773793,1597,1533.5,0.0331193190485594,0.0249062936434475,0.00320078724668923,0.0313027847505714,0.0212503868248461,0.00294263949822478,1.07139598437332,1.04840806540831,1.10501224629692,1.04638558693315,0.950986863810524,1.13220310857856,0.28427997903971,0.285911671334649,0.282799031587487,0.286025963838817,0.28454266742111,0.282336184345474,272.206914059647,68.6773935262835,155.289353623062,0.0516081383528075,0.196078683722879,1.13087124803341,0.889785590176524,1.00061447043834
"SEDHIOU",0.0658943010388054,0.138622355459138,0.114183953160766,6.34509111778047,6.90823395069869,0.63691244986228,1589,1447,0.0322746466340063,0.0239580999829748,0.00294912165893562,0.0336586996975326,0.0274944878407484,0.00337472991191973,1.09209859479383,0.919355332904372,0.845295055821372,0.79224892610516,0.966326085058073,0.882721037690889,0.284353394957678,0.285626866257223,0.286349243503309,0.285080585552598,0.283047840026588,0.285672222893266,293.311851985369,82.2879147904562,212.66366651261,0.0824217820912436,0.2958920869027,1.16960862996314,0.887354705324337,1.0344629313386
"TAMBACOUNDA",0.0999427205528949,0.169957891735683,0.0184619852297308,6.23402981894453,6.41228045248877,0.60427673706582,1598,1430.5,0.0292506401369375,0.0266710960346951,0.00291284716690908,0.0289750120297532,0.036246575878833,0.00309894251394559,1.08284225268624,0.908163633787014,0.944475568668402,0.959536556010258,0.766454298168924,1.0266547061423,0.281871493450301,0.283427889838525,0.282882686099111,0.283183970187549,0.280541166515397,0.280727394373314,443.21539784564,114.089700865365,273.081123185671,0.0582201220379843,0.313340913873569,1.12097872252862,0.954398734715282,0.999150636634374
"THIES",0.0450480367204723,0.030165867408802,0.0150464038312705,7.1839600394738,7.02370514001446,0.766692030985845,1606,1591,0.0321395232669925,0.024969058773559,0.0025921516873996,0.0323524721615864,0.0191820661286277,0.00299914632116515,1.28468694761621,0.980930027980838,1.2249349149144,1.31422925572844,0.928227722985282,1.12373729688368,0.287592627361128,0.288204826940408,0.285112427529608,0.284890761077117,0.289212154032904,0.285814513301427,62.299490000033,41.6670007085339,43.7122010247381,0.11974570227974,0.276871052197615,1.15141309203363,0.893907386796802,1.03195386861099
"ZIGUINCHOR",0.0345790054489991,0.0934321711353271,0.060933602111246,6.57219811731469,6.79529984744751,0.715760681899687,1594,1523.5,0.0316076788631273,0.0323058519216236,0.00265265568517943,0.032200459316807,0.0212341910961212,0.00306328717701871,1.21402870369346,0.781554141131172,1.22698444578052,1.16464332955267,0.827307098013599,1.10901913267507,0.284936838618581,0.284262713512076,0.286306287396004,0.288063628675276,0.287348931975144,0.285132543534262,263.83757171125,77.5409718283909,148.052627631395,0.0933167630250044,0.257371617479726,1.16480407560803,0.824622432054642,1.00230191814842
